,NOMBRE,SUBTITULO,PRECIO,PRECIO MENSUAL,KILOMETRAJE,ANIO,TIPO DE CAJA,CILINDRAJE,COMBUSTIBLE,COLOR,ESTADO,UBICACIÓN,DIRECCIÓN,PLACA,PUERTAS,AIRBAGS,IMAGEN
44,Chevrolet Sonic,Sedan LT Aut,$47.900.000,$1.192.196,28.680 km,2018,Automática,1.600,Gasolina,Plateado,usado,Bogotá D.C.,Automática,**8 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023293/2023293_1_l.jpg.do
45,Fiat Strada,Working,$31.000.000,$771.567,62.100 km,2016,Mecánica,1.600,Gasolina,Rojo,usado,Bogotá D.C.,Mecánica,**4 Bogota,,,https://www.carroya.com/web/images/vehiculos/2003685/2003685_16_l.jpg.do
46,Ford Escape,SE 4x2 EcoBoost ,$114.990.000,$2.862.017,0 km,2021,Automática,0,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/1988841/1988841_21_l.jpg.do
47,Ford Ranger,Limited,$167.990.000,$4.181.148,0 km,2022,Mecánica,3.198,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2020621/2020621_18_l.jpg.do
48,KIA Seltos,1.6 Zenith Automatica,$105.990.000,$2.638.013,0 km,2022,Automática,1.591,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2018724/2018724_2_l.jpg.do
49,Ford Escape,Titanium Ecobost 4x4,$129.990.000,$3.235.356,0 km,2021,Automática,0,Gasolina,Varios,nuevo,Bogotá D.C.,Automática,,5,,https://www.carroya.com/web/images/vehiculos/2000542/2000542_4_l.jpg.do
50,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,Varios,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2010142/2010142_1_l.jpg.do
51,Ford Ranger,3.2 XLT Diesel,$147.990.000,$3.683.362,0 km,2022,Automática,3.200,Diesel,,nuevo,Bogotá D.C.,Automática,,4,,https://www.carroya.com/web/images/vehiculos/2014150/2014150_1_l.jpg.do
52,Toyota Land Cruiser,,$378.000.000,$9.408.143,28.800 km,2019,Automática,4.500,Diesel,Blanco,usado,Bogotá D.C.,Automática,**6 Bogota,,,https://www.carroya.com/web/images/vehiculos/2023097/2023097_4_l.jpg.do
53,KIA Sonet,1.5 Vibrant Mecanica,$83.990.000,$2.090.449,0 km,2022,Mecánica,1.497,Gasolina,Varios,nuevo,Bogotá D.C.,Mecánica,,5,,https://www.carroya.com/web/images/vehiculos/2022414/2022414_2_l.jpg.do
54,Mercedes Benz Clase E,E230,$29.900.000,$744.189,295.000 km,1985,Mecánica,2.300,Gasolina,Verde,usado,Bogotá D.C.,Mecánica,**2 Bogota,,,https://www.carroya.com/web/images/vehiculos/1738688/1738688_3_l.jpg.do
55,Renault Alaskan,Intens 2.5 Diesel 4x4,$105.300.000,$2.620.840,73.000 km,2017,Automática,2.500,Diesel,Blanco,usado,Bogotá D.C.,Automática,**3 Otra,,,https://www.carroya.com/web/images/vehiculos/2020056/2020056_19_l.jpg.do
56,Renault Duster,Espression 4x2 BVM 1.6L,$46.000.000,$1.144.906,62.700 km,2016,Mecánica,1.600,Gasolina,Plateado,usado,Bogotá D.C.,,**2 Otra,,Airbags,https://www.carroya.com/web/images/vehiculos/2010692/2010692_13_l.jpg.do
57,Hyundai Santafe,2.2 Diesel 4x2 Aut,$53.700.000,$1.336.553,124.000 km,2013,Secuencial,2.200,Diesel,Gris,usado,Bogotá D.C.,Secuencial,**7 Bogota,,,https://www.carroya.com/web/images/vehiculos/2017420/2017420_10_l.jpg.do
58,Ford Ranger,3.2 XLS MT Diesel,$135.990.000,$3.384.691,0 km,2022,Mecánica,0,Diesel,Varios,nuevo,Bogotá D.C.,Mecánica,,4,,https://www.carroya.com/web/images/vehiculos/2014938/2014938_11_l.jpg.do
59,Renault Logan,Intens CVT,$61.780.000,$1.537.659,0 km,2022,CVT,1.598,Gasolina,Varios,nuevo,Bogotá D.C.,CVT,,4,,https://www.carroya.com/web/images/vehiculos/2011467/2011467_6_l.jpg.do
